=== AUTOMOBILE ASSEMBLER ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
HUBC-MAY,119.28,120.0,126.9,120.0,126.9,6.94,"1,826,000"
HUMNL-MAY,11.25,11.51,11.8,11.0,11.35,0.14,"800,000"
IMAGE-MAYB,18.37,19.5,19.5,18.66,19.1,0.73,"1,198,500"
INIL-MAY,120.33,123.0,132.36,121.0,132.36,11.62,"26,500"
ISL-MAY,62.00,65.67,68.2,65.26,67.89,6.05,"32,500"
ILP-MAY,47.00,47.0,50.87,47.0,50.87,3.87,"5,500"
JSBL-MAY,7.13,7.51,7.53,7.51,7.53,0.4,"9,000"
KEL-MAY,3.94,3.98,4.06,3.8,4.02,0.09,"1,905,000"
KOSM-MAY,3.93,4.0,4.18,3.56,3.97,0.05,"8,800,500"
KAPCO-MAY,27.37,28.0,29.24,27.92,29.24,1.87,"3,500"
LPL-MAY,21.06,22.0,22.49,22.0,22.49,1.39,"5,500"
LOTCHEM-MAY,16.75,17.01,17.28,15.08,17.28,0.53,"3,816,000"
LUCK-MAYB,286.86,297.0,310.0,280.5,309.98,20.41,"596,500"
MLCF-MAY,61.19,61.1,64.6,60.0,64.6,2.14,"6,787,000"
MARI-MAY,544.36,551.0,582.0,527.0,580.0,34.81,"527,000"
MARI-JUN,550.80,585.0,585.0,585.0,585.0,34.2,500
MCB-MAYC,266.00,275.33,275.35,275.33,275.35,9.34,"2,000"
MEBL-MAYC,247.50,254.0,255.5,254.0,255.01,7.51,"4,000"
MTL-MAY,539.00,535.0,540.0,535.0,540.0,1.0,"6,500"
MUGHAL-MAY,55.50,55.01,60.99,55.0,60.99,4.59,"94,500"
NBP-MAYB,76.05,77.89,79.85,74.6,79.2,3.04,"408,500"
NRL-MAY,170.25,165.05,170.0,155.12,168.2,-2.22,"684,000"
NETSOL-MAY,115.51,110.0,117.99,109.11,116.6,1.36,"700,000"
NETSOL-JUN,117.50,117.44,117.99,117.44,117.99,0.22,"1,000"
NML-MAY,100.50,101.5,104.7,100.0,104.7,3.33,"75,000"
NPL-MAYB,33.57,33.0,34.0,32.8,34.0,0.43,"2,500"
OCTOPUS-MAY,41.30,40.34,41.2,37.2,40.56,-0.93,"294,500"
OGDC-MAYB,178.91,178.0,186.5,175.2,185.0,6.36,"3,434,000"
OGDC-JUNB,198.00,182.0,182.0,182.0,182.0,-16.0,500
PSO-MAY,312.67,311.99,335.0,302.0,330.51,18.25,"3,526,000"
PTC-MAY,17.40,17.2,18.1,16.9,18.0,0.32,"1,766,000"
PACE-MAY,3.89,4.1,4.49,3.95,4.49,0.58,"1,779,500"
PAEL-MAY,37.04,36.52,40.74,35.5,40.74,3.48,"9,471,000"
PAEL-JUN,37.79,41.0,41.0,41.0,41.0,3.21,"1,000"
PIBTL-MAY,7.12,7.0,7.73,7.0,7.62,0.52,"4,179,500"
POL-MAY,492.78,499.0,510.0,499.0,510.0,17.22,"1,500"
PPL-MAYB,132.16,133.0,140.49,129.0,138.05,6.93,"2,769,000"
PRL-MAY,24.37,22.5,25.17,22.1,24.62,0.28,"10,057,000"
PAKRI-MAYB,11.08,12.0,12.0,10.69,11.5,0.26,"13,500"
PIAHCLA-MAY,13.67,12.63,12.64,12.3,12.3,-1.37,"8,055,000"
PIOC-MAY,178.93,179.0,191.7,174.99,191.5,11.83,"28,000"
POWER-MAY,13.42,13.45,14.09,13.05,14.05,0.5,"1,806,000"
SAZEW-MAYB,"1,122.43",1122.43,1220.0,1112.0,1200.0,82.0,"500,500"
SAZEW-JUNB,"1,146.06",1189.99,1195.0,1189.99,1195.0,44.56,"4,000"
SNBL-MAY,17.00,18.0,18.0,18.0,18.0,1.0,"1,000"
SNGP-MAYB,100.54,101.0,106.1,100.15,105.49,4.74,"1,226,000"
SNGP-MAY,105.93,106.99,112.8,106.0,111.55,5.85,"3,757,000"
SNGP-JUN,105.86,111.48,111.48,111.48,111.48,5.62,500
SSGC-MAY,29.42,28.0,28.9,26.48,27.75,-1.62,"23,095,500"
SYM-MAY,12.25,12.27,13.4,11.38,12.77,0.44,"1,202,000"
SYS-MAYB,476.28,470.02,487.93,470.02,487.59,11.31,"9,500"
TGL-MAYB,175.66,183.0,183.0,183.0,183.0,7.34,500
TGL-JUNB,177.73,182.0,182.0,182.0,182.0,4.27,500
TELE-MAY,5.63,5.73,6.0,5.51,6.0,0.36,"419,000"
TOMCL-MAY,26.01,26.5,26.5,24.12,25.71,-0.42,"535,000"
SEARL-MAY,66.85,65.31,69.0,61.0,69.0,1.27,"1,984,500"
TPLP-MAY,6.75,6.78,7.22,6.5,7.22,0.33,"871,000"
TREET-MAY,16.55,16.69,16.85,15.57,16.8,0.09,"1,100,500"
TREET-JUN,16.77,17.0,17.0,17.0,17.0,0.23,500
TRG-MAY,53.55,52.99,57.28,49.5,57.25,2.73,"3,224,500"
UBL-MAYB,448.38,458.0,470.0,431.01,461.88,10.69,"140,000"
UNITY-MAY,22.59,22.99,24.49,21.3,23.5,0.91,"297,500"
WAVES-MAY,6.70,6.23,6.9,5.75,6.9,0.19,"109,500"
WAVESAPP-MAY,7.87,7.62,8.1,7.6,7.96,0.13,"173,500"
WTL-MAY,1.11,1.14,1.16,1.12,1.16,0.05,"2,957,000"
YOUW-MAY,3.25,4.25,4.25,3.0,3.07,-0.18,"88,500"
=== GLASS & CERAMICS ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Bal.Glass,7.29,7.49,7.97,7.33,7.89,0.57,"165,130"
Frontier Ceram,22.95,24.98,24.98,21.15,23.69,0.22,"2,348"
Ghani Glass Ltd,27.05,27.5,29.0,26.5,29.0,1.4,"1,049,736"
Ghani Value GlassXD,40.84,42.0,44.92,38.62,44.92,4.08,"173,255"
GhaniGlobalGlass,7.32,7.39,7.64,6.98,7.64,0.09,"1,748,336"
Shabbir Tiles,10.39,10.75,11.26,10.0,11.0,0.57,"31,348"
Tariq Glass Ind.XD,174.04,165.1,186.0,165.0,182.1,7.8,"550,737"
=== INSURANCE ===
